filename	state	group	fac1	fac2	fac3	fac4
t000221	al	al	22	2	4	1
t000222	al	al	15	3	9	1
t000223	al	al	17	1	1	5
t000224	al	al	26	5	7	6
t000225	al	al	13	7	5	2
t000226	al	al	34	10	3	4
t000227	al	al	21	3	3	7
t000228	al	al	12	3	6	4
t000229	al	al	20	0	11	5
t000230	al	al	9	-1	1	1
t000231	al	al	15	4	2	0
t000232	al	al	33	7	5	4
t000233	al	al	18	3	0	0
t000234	al	al	32	3	4	0
t000235	al	al	38	3	8	1
t000236	al	al	9	1	2	-1
t000237	al	al	31	6	13	3
t000238	al	al	24	2	3	8
t000239	al	al	34	2	7	0
t000240	al	al	6	3	6	21
t000241	al	al	11	18	2	2
t000242	al	al	31	7	7	12
t000243	al	al	14	21	4	1
t000244	al	al	26	10	10	6
t000245	al	al	13	11	2	2
t000246	al	al	5	18	1	1
t000247	al	al	14	5	0	9
t000248	al	al	26	9	9	10
t000249	al	al	36	27	6	2
t000250	al	al	34	15	11	3
t000251	al	al	22	11	5	-1
t000252	al	al	23	13	4	2
t000253	al	al	32	24	6	-1
t000254	al	al	6	8	3	0
t000255	al	al	44	4	14	13
t000256	al	al	13	3	8	16
t000257	al	al	48	0	8	5
t000258	al	al	18	-2	5	5
t000259	al	al	30	4	-1	3
t000260	al	al	39	10	5	8
t000261	al	al	37	1	3	4
t000262	al	al	59	3	5	8
t000263	al	al	22	-2	2	3
t000264	al	al	23	-3	1	0
t000265	al	al	24	3	3	0
t000266	al	al	8	2	1	2
t000267	al	al	36	15	6	7
t000268	al	al	31	3	7	9
t000269	al	al	16	2	2	1
t000270	al	al	25	2	3	0
t000271	al	al	12	1	2	2
t000272	al	al	34	8	4	7
t000273	al	al	29	13	2	2
t000274	al	al	27	7	3	1
t000275	al	al	16	1	4	1
t000276	al	al	11	7	8	25
t000277	al	al	20	6	1	2
t000278	al	al	56	13	9	16
t000279	al	al	48	7	5	6
t000280	al	al	38	7	3	9
t000281	al	al	32	4	5	15
t000282	al	al	15	18	4	0
t000283	al	al	24	19	4	-2
t000284	al	al	16	22	8	1
t000285	al	al	17	26	3	3
t000286	al	al	8	18	4	0
t000287	al	al	12	5	4	2
t000288	al	al	5	0	3	30
t000289	al	al	28	27	8	1
t000290	al	al	32	9	22	1
t000291	al	al	25	5	10	2
t000292	al	al	4	12	8	3
t000293	al	al	25	9	8	16
t000294	al	al	17	6	0	0
t000295	al	al	11	1	4	1
t000296	al	al	12	6	9	2
t000297	al	al	25	36	18	3
t000298	al	al	9	9	21	1
t000299	al	al	9	0	12	2
t000300	al	al	10	3	10	0
t000301	al	al	9	1	25	4
t000302	al	al	9	2	17	1
t000303	al	al	4	0	17	0
t000304	al	al	9	2	15	1
t000305	al	al	6	-2	34	1
t000306	al	al	14	5	12	5
t000307	al	al	9	6	6	2
t000308	al	al	10	0	12	-1
t000309	al	al	7	1	7	0
t000310	am	am	29	26	9	3
t000311	am	am	13	9	27	1
t000312	am	am	10	9	3	2
t000313	am	am	28	2	6	0
t000314	am	am	32	8	3	3
t000315	am	am	21	18	7	2
t000316	am	am	15	5	1	2
t000317	am	am	22	4	2	3
t000318	am	am	24	1	1	1
t000319	am	am	21	9	4	4
t000320	am	am	12	3	1	8
t000321	am	am	8	4	3	1
t000322	am	am	9	0	0	7
t000323	am	am	12	2	2	10
t000324	am	am	6	4	1	4
t000325	am	am	9	8	2	6
t000326	am	am	14	6	4	7
t000327	am	am	9	6	3	10
t000328	am	am	33	23	9	4
t000329	am	am	21	14	3	9
t000330	am	am	34	24	12	19
t000331	am	am	33	13	8	4
t000332	am	am	36	9	10	1
t000333	am	am	44	21	8	1
t000334	am	am	18	5	6	0
t000335	am	am	20	9	3	-2
t000336	am	am	5	1	0	-2
t000337	am	am	62	23	6	8
t000338	am	am	16	1	3	0
t000339	am	am	49	-5	8	2
t000340	am	am	8	-1	4	1
t000341	am	am	22	11	4	1
t000342	am	am	11	0	4	0
t000343	am	am	8	0	2	2
t000344	am	am	18	7	8	2
t000345	am	am	33	3	15	6
t000346	am	am	2	1	1	1
t000347	am	am	17	6	6	2
t000348	am	am	21	9	12	3
t000349	am	am	11	0	0	1
t000350	am	am	53	18	19	20
t000351	am	am	11	0	0	1
t000352	am	am	29	-2	5	-2
t000353	am	am	10	0	3	0
t000354	am	am	40	14	7	7
t000355	am	am	11	0	3	0
t000356	am	am	9	0	1	1
t000357	am	am	29	11	9	2
t000358	am	am	10	1	0	0
t000359	am	am	22	8	9	6
t000360	am	am	5	0	1	1
t000361	am	am	23	8	3	8
t000362	am	am	4	9	1	4
t000363	am	am	26	4	5	0
t000364	am	am	34	8	4	3
t000365	am	am	48	9	21	7
t000366	am	am	33	15	5	0
t000367	am	am	15	24	7	2
t000368	am	am	14	18	2	4
t000369	am	am	5	8	1	4
t000370	am	am	14	12	3	3
t000371	am	am	13	4	2	6
t000372	am	am	27	8	5	1
t000373	am	am	14	8	0	0
t000374	am	am	26	4	2	0
t000375	am	am	25	4	2	0
t000376	am	am	46	9	5	2
t000377	am	am	20	1	1	3
t000378	am	am	68	12	10	5
t000379	am	am	65	9	6	9
t000380	am	am	49	1	11	5
t000381	am	am	26	2	3	1
t000382	am	am	30	1	4	1
t000383	am	am	35	2	3	2
t000384	am	am	10	0	0	0
t000385	am	am	10	1	1	0
t000386	am	am	30	4	2	2
t000387	am	am	5	1	0	2
t000388	am	am	46	7	2	9
t000389	am	am	16	2	1	2
t000390	am	am	4	13	1	0
t000391	am	am	15	13	1	2
t000392	am	am	18	12	4	-1
t000393	am	am	20	20	3	1
t000394	am	am	23	23	8	-1
t000395	am	am	6	26	4	0
t000396	am	am	5	11	2	1
t000397	am	am	30	22	3	1
t000398	am	am	8	12	5	6
t000399	am	am	22	14	1	7
t000400	am	am	15	17	4	7
t000401	am	am	10	14	2	6
t000402	am	am	18	19	6	4
t000403	am	am	20	7	6	2
t000404	am	am	5	17	4	3
t000405	am	am	19	9	4	1
t000406	am	am	11	3	4	0
t000407	am	am	21	2	5	-2
t000408	am	am	15	11	0	0
t000409	am	am	13	21	24	6
t000410	am	am	15	8	23	1
t000411	am	am	18	20	8	2
t000412	am	am	12	22	13	0
t000413	am	am	8	4	9	1
t000414	am	am	8	8	12	1
t000415	am	am	9	7	12	1
t000416	am	am	10	7	13	3
t000417	am	am	7	1	18	3
t000418	am	am	5	5	37	2
t000419	am	am	8	0	19	0
t000420	am	am	5	1	15	1
t000421	am	am	4	4	26	-1
t000422	am	am	4	0	17	0
t000423	am	am	8	-2	20	1
t000424	am	am	8	-2	19	0
t000425	am	am	9	-2	21	3
t000426	am	am	4	-1	17	0
t000427	am	am	3	2	12	2
t000428	am	am	20	-3	29	0
t000429	am	am	22	7	49	1
t000430	am	am	8	2	37	1
t000431	am	am	3	2	14	0
t000432	am	am	5	3	17	0
t000433	am	am	10	1	24	0
t000434	am	am	13	8	23	0
t000435	am	am	6	6	24	1
t000436	am	am	3	1	12	0
t000437	am	am	16	4	23	3
t000438	am	am	12	10	17	1
t000439	am	am	11	3	11	12
t000440	am	am	8	5	8	15
t000441	am	am	16	9	14	8
t000442	am	am	8	9	24	6
t000443	am	am	11	8	7	8
t000444	am	am	4	8	9	-1
t000445	am	am	7	4	29	2
t000446	am	am	0	2	17	1
t000447	am	am	11	3	36	4
t000448	am	am	0	5	9	0
t000449	am	am	7	5	31	0
t000450	am	am	1	2	22	4
t000451	am	am	-3	1	18	0
t000452	am	am	1	-2	15	2
t000453	am	am	0	7	19	-1
t000454	am	am	10	19	19	-1
t000455	am	am	5	11	12	0
t000456	am	am	22	18	12	0
t000457	am	am	7	14	13	2
t000458	ap	ap	23	12	5	3
t000459	ap	ap	29	13	7	1
t000460	ap	ap	46	8	23	0
t000461	ap	ap	22	4	2	1
t000462	ap	ap	11	5	0	0
t000463	ap	ap	20	5	5	1
t000464	ap	ap	31	6	2	4
t000465	ap	ap	30	5	5	4
t000466	ap	ap	49	3	8	6
t000467	ap	ap	29	11	4	5
t000468	ap	ap	39	4	8	-6
t000469	ap	ap	22	4	5	1
t000470	ap	ap	13	0	3	0
t000471	ap	ap	19	2	15	3
t000472	ap	ap	31	3	13	2
t000473	ap	ap	27	3	11	4
t000474	ap	ap	45	7	11	4
t000475	ap	ap	30	4	1	4
t000476	ap	ap	17	8	1	5
t000477	ap	ap	18	5	4	8
t000478	ap	ap	35	-3	6	2
t000479	ap	ap	9	0	2	2
t000480	ap	ap	6	0	3	0
t000481	ap	ap	14	3	6	2
t000482	ap	ap	9	1	1	0
t000483	ap	ap	21	3	0	3
t000484	ap	ap	27	3	11	-3
t000485	ap	ap	21	0	4	-3
t000486	ap	ap	15	0	1	-1
t000487	ap	ap	33	5	6	-1
t000488	ap	ap	12	0	3	0
t000489	ap	ap	9	1	4	0
t000490	ap	ap	7	0	1	1
t000491	ap	ap	14	0	7	2
t000492	ap	ap	23	3	7	5
t000493	ap	ap	4	2	1	4
t000494	ap	ap	13	5	2	1
t000495	ap	ap	20	2	7	0
t000496	ap	ap	20	5	4	-1
t000497	ap	ap	18	4	9	1
t000498	ap	ap	9	5	1	9
t000499	ap	ap	4	1	1	0
t000500	ap	ap	33	7	6	-1
t000501	ap	ap	27	8	7	0
t000502	ap	ap	7	11	2	1
t000503	ap	ap	21	12	1	3
t000504	ap	ap	19	5	3	8
t000505	ap	ap	22	8	2	2
t000506	ap	ap	57	16	15	4
t000507	ap	ap	7	13	1	0
t000508	ap	ap	15	9	1	1
t000509	ap	ap	12	16	3	1
t000510	ap	ap	25	3	3	-1
t000511	ap	ap	3	9	1	2
t000512	ap	ap	3	8	1	6
t000513	ap	ap	28	19	10	14
t000514	ap	ap	13	22	8	7
t000515	ap	ap	8	12	6	5
t000516	ap	ap	17	6	2	3
t000517	ap	ap	20	4	0	1
t000518	ap	ap	17	0	0	0
t000519	ap	ap	65	8	9	5
t000520	ap	ap	9	3	0	1
t000521	ap	ap	28	7	4	1
t000522	ap	ap	32	3	5	-2
t000523	ap	ap	56	5	5	1
t000524	ap	ap	17	3	1	0
t000525	ap	ap	19	1	2	1
t000526	ap	ap	16	3	3	-1
t000527	ap	ap	21	3	6	0
t000528	ap	ap	22	4	2	-1
t000529	ap	ap	20	4	0	-1
t000530	ap	ap	14	5	2	0
t000531	ap	ap	35	4	3	4
t000532	ap	ap	27	3	3	0
t000533	ap	ap	21	1	3	3
t000534	ap	ap	19	1	1	3
t000535	ap	ap	24	5	0	0
t000536	ap	ap	17	22	1	2
t000537	ap	ap	7	5	1	0
t000538	ap	ap	21	1	2	1
t000539	ap	ap	13	7	3	0
t000540	ap	ap	12	19	1	0
t000541	ap	ap	7	13	2	0
t000542	ap	ap	4	13	1	0
t000543	ap	ap	20	23	2	-2
t000544	ap	ap	27	33	3	2
t000545	ap	ap	34	20	3	-2
t000546	ap	ap	19	21	4	1
t000547	ap	ap	38	18	5	-1
t000548	ap	ap	6	14	5	5
t000549	ap	ap	28	23	4	-1
t000550	ap	ap	49	19	5	1
t000551	ap	ap	23	16	3	-4
t000552	ap	ap	35	8	6	3
t000553	ap	ap	25	10	3	2
t000554	ap	ap	12	3	3	0
t000555	ap	ap	14	9	4	1
t000556	ap	ap	14	18	6	0
t000557	ap	ap	7	3	2	-1
t000558	ap	ap	16	12	0	-1
t000559	ap	ap	17	17	2	-1
t000560	ap	ap	36	16	5	0
t000561	ap	ap	1	4	0	0
t000562	ap	ap	24	22	9	6
t000563	ap	ap	6	2	10	0
t000564	ap	ap	14	8	10	1
t000565	ap	ap	5	2	20	1
t000566	ap	ap	8	1	19	1
t000567	ap	ap	8	1	17	1
t000568	ap	ap	17	4	19	2
t000569	ap	ap	7	0	16	1
t000570	ap	ap	3	0	13	1
t000571	ap	ap	3	-1	18	1
t000572	ap	ap	5	0	15	3
t000573	ap	ap	5	-2	22	0
t000574	ap	ap	2	-2	17	2
t000575	ap	ap	6	3	8	0
t000576	ap	ap	17	4	10	1
t000577	ap	ap	4	3	10	1
t000578	ap	ap	5	7	18	-1
t000579	ap	ap	9	15	3	3
t000580	ap	ap	21	16	2	4
t000581	ap	ap	22	3	4	1
t000582	ap	ap	30	11	2	2
t000583	ap	ap	25	29	6	7
t000584	ap	ap	22	34	7	9
t000585	ap	ap	13	25	6	13
t000586	ap	ap	7	18	5	8
t000587	ap	ap	16	21	4	9
t000588	ap	ap	46	15	15	2
t000589	ap	ap	5	6	3	2
t000590	ap	ap	16	8	5	3
t000591	ap	ap	12	5	2	0
t000592	ba	ba	7	8	5	1
t000593	ba	ba	24	1	1	1
t000594	ba	ba	46	2	13	5
t000595	ba	ba	28	4	10	-2
t000596	ba	ba	19	3	2	2
t000597	ba	ba	17	1	6	1
t000598	ba	ba	20	2	6	-1
t000599	ba	ba	14	0	6	0
t000600	ba	ba	38	7	13	2
t000601	ba	ba	9	0	2	2
t000602	ba	ba	54	12	13	6
t000603	ba	ba	4	1	1	1
t000604	ba	ba	44	4	8	3
t000605	ba	ba	13	0	0	1
t000606	ba	ba	74	12	14	5
t000607	ba	ba	22	-2	2	-3
t000608	ba	ba	19	2	4	0
t000609	ba	ba	19	3	2	1
t000610	ba	ba	13	0	3	0
t000611	ba	ba	13	2	1	2
t000612	ba	ba	38	7	10	2
t000613	ba	ba	13	0	3	0
t000614	ba	ba	24	3	1	2
t000615	ba	ba	76	18	12	12
t000616	ba	ba	18	2	1	1
t000617	ba	ba	32	0	9	3
t000618	ba	ba	8	0	1	1
t000619	ba	ba	6	1	1	1
t000620	ba	ba	50	9	8	14
t000621	ba	ba	5	2	1	4
t000622	ba	ba	32	16	13	7
t000623	ba	ba	17	19	3	8
t000624	ba	ba	34	26	6	8
t000625	ba	ba	66	58	18	17
t000626	ba	ba	9	28	12	12
t000627	ba	ba	16	9	0	4
t000628	ba	ba	28	22	9	16
t000629	ba	ba	17	17	5	18
t000630	ba	ba	13	11	7	8
t000631	ba	ba	21	8	2	4
t000632	ba	ba	22	22	3	12
t000633	ba	ba	36	32	6	3
t000634	ba	ba	46	14	3	16
t000635	ba	ba	52	18	13	7
t000636	ba	ba	17	15	7	9
t000637	ba	ba	18	10	3	3
t000638	ba	ba	57	37	26	21
t000639	ba	ba	51	31	11	10
t000640	ba	ba	11	14	4	2
t000641	ba	ba	27	3	6	8
t000642	ba	ba	40	10	3	6
t000643	ba	ba	38	-1	7	3
t000644	ba	ba	37	12	5	4
t000645	ba	ba	28	10	7	8
t000646	ba	ba	46	4	5	2
t000647	ba	ba	29	2	3	4
t000648	ba	ba	26	2	3	1
t000649	ba	ba	25	0	4	3
t000650	ba	ba	21	-1	9	1
t000651	ba	ba	23	1	4	5
t000652	ba	ba	27	5	6	9
t000653	ba	ba	35	4	8	6
t000654	ba	ba	37	9	6	16
t000655	ba	ba	47	10	6	3
t000656	ba	ba	12	19	4	1
t000657	ba	ba	47	20	10	11
t000658	ba	ba	4	2	2	2
t000659	ba	ba	7	6	4	1
t000660	ba	ba	12	5	6	2
t000661	ba	ba	13	15	7	2
t000662	ba	ba	24	18	6	7
t000663	ba	ba	13	19	4	1
t000664	ba	ba	32	19	5	5
t000665	ba	ba	1	10	1	0
t000666	ba	ba	14	3	2	4
t000667	ba	ba	12	3	3	2
t000668	ba	ba	27	7	9	7
t000669	ba	ba	17	3	0	3
t000670	ba	ba	8	4	2	2
t000671	ba	ba	20	4	2	2
t000672	ba	ba	18	11	11	5
t000673	ba	ba	29	4	5	5
t000674	ba	ba	9	9	3	9
t000675	ba	ba	18	10	3	5
t000676	ba	ba	10	5	1	1
t000677	ba	ba	16	5	5	4
t000678	ba	ba	16	4	4	2
t000679	ba	ba	14	5	4	2
t000680	ba	ba	7	3	1	9
t000681	ba	ba	8	12	6	4
t000682	ba	ba	16	3	5	0
t000683	ba	ba	6	8	6	4
t000684	ba	ba	23	21	2	1
t000685	ba	ba	2	2	0	0
t000686	ba	ba	16	25	3	3
t000687	ba	ba	10	12	2	2
t000688	ba	ba	18	15	5	2
t000689	ba	ba	14	15	4	2
t000690	ba	ba	16	14	2	4
t000691	ba	ba	22	9	7	3
t000692	ba	ba	18	8	8	2
t000693	ba	ba	3	0	6	2
t000694	ba	ba	26	10	16	4
t000695	ba	ba	10	15	12	3
t000696	ba	ba	8	3	4	0
t000697	ba	ba	17	6	15	2
t000698	ba	ba	34	7	19	3
t000699	ba	ba	12	1	3	-2
t000700	ba	ba	39	4	30	-1
t000701	ba	ba	8	4	6	2
t000702	ba	ba	3	7	3	3
t000703	ba	ba	20	16	7	7
t000704	ba	ba	15	12	5	5
t000705	ba	ba	14	6	2	7
t000706	ba	ba	23	12	2	5
t000707	ba	ba	44	16	12	4
t000708	ba	ba	29	43	6	7
t000709	ba	ba	3	14	6	10
t000710	ba	ba	15	19	4	8
t000711	ba	ba	13	12	5	1
t000712	ba	ba	18	18	5	8
t000713	ba	ba	17	17	5	6
t000714	ba	ba	14	11	2	10
t000715	ba	ba	7	2	2	4
t000716	ba	ba	16	16	2	5
t000717	ba	ba	19	14	6	16
t000718	ba	ba	17	13	5	7
t000719	ba	ba	16	11	6	21
t000720	ba	ba	22	14	8	1
t000721	ba	ba	10	10	3	4
t000722	ba	ba	30	9	3	6
t000723	ba	ba	6	2	0	2
t000724	ba	ba	34	10	10	6
t000725	ba	ba	13	3	4	1
t000726	ba	ba	58	23	17	-1
t000727	ce	ce	30	8	9	6
t000728	ce	ce	15	0	1	1
t000729	ce	ce	11	1	2	0
t000730	ce	ce	5	0	2	1
t000731	ce	ce	8	5	1	1
t000732	ce	ce	29	3	2	2
t000733	ce	ce	40	0	14	7
t000734	ce	ce	28	0	5	1
t000735	ce	ce	23	-1	0	1
t000736	ce	ce	20	5	6	3
t000737	ce	ce	20	0	5	3
t000738	ce	ce	19	1	6	5
t000739	ce	ce	26	9	11	1
t000740	ce	ce	6	1	0	2
t000741	ce	ce	24	3	0	0
t000742	ce	ce	28	4	2	1
t000743	ce	ce	15	0	0	1
t000744	ce	ce	39	10	4	-1
t000745	ce	ce	67	7	10	-7
t000746	ce	ce	46	0	12	-1
t000747	ce	ce	40	3	6	2
t000748	ce	ce	24	3	5	0
t000749	ce	ce	14	0	7	0
t000750	ce	ce	21	6	5	3
t000751	ce	ce	32	3	2	0
t000752	ce	ce	6	1	7	0
t000753	ce	ce	15	2	4	1
t000754	ce	ce	20	-1	5	3
t000755	ce	ce	29	3	4	1
t000756	ce	ce	26	11	3	8
t000757	ce	ce	27	6	2	3
t000758	ce	ce	28	5	1	2
t000759	ce	ce	24	4	4	3
t000760	ce	ce	35	7	8	5
t000761	ce	ce	9	5	1	4
t000762	ce	ce	14	3	0	7
t000763	ce	ce	12	13	3	1
t000764	ce	ce	28	16	1	2
t000765	ce	ce	17	28	3	4
t000766	ce	ce	44	14	7	1
t000767	ce	ce	39	19	12	3
t000768	ce	ce	75	25	20	8
t000769	ce	ce	24	18	7	1
t000770	ce	ce	36	18	13	15
t000771	ce	ce	29	20	7	14
t000772	ce	ce	25	36	5	3
t000773	ce	ce	6	23	7	2
t000774	ce	ce	10	20	1	1
t000775	ce	ce	5	4	0	7
t000776	ce	ce	9	13	4	5
t000777	ce	ce	13	8	1	2
t000778	ce	ce	18	17	0	3
t000779	ce	ce	6	8	1	6
t000780	ce	ce	28	14	3	2
t000781	ce	ce	10	15	4	2
t000782	ce	ce	21	11	3	2
t000783	ce	ce	47	24	14	4
t000784	ce	ce	37	9	6	0
t000785	ce	ce	28	2	1	2
t000786	ce	ce	39	2	16	1
t000787	ce	ce	22	6	9	2
t000788	ce	ce	38	2	6	-1
t000789	ce	ce	34	2	2	3
t000790	ce	ce	34	1	0	2
t000791	ce	ce	29	2	5	2
t000792	ce	ce	41	10	7	2
t000793	ce	ce	19	9	7	2
t000794	ce	ce	26	5	6	-2
t000795	ce	ce	17	2	1	0
t000796	ce	ce	23	3	1	-1
t000797	ce	ce	6	0	1	0
t000798	ce	ce	39	7	3	1
t000799	ce	ce	47	10	12	1
t000800	ce	ce	18	1	1	0
t000801	ce	ce	43	7	4	0
t000802	ce	ce	39	6	5	0
t000803	ce	ce	22	1	4	0
