##	NOUN.Fem.Sing	<unknown>
pelo	ADP_DET.Masc.Sing	por_o
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
de	ADP	de
um	DET.Masc.Sing	um
cidadão	NOUN.Masc.Sing	cidadão
crítico	ADJ.Masc.Sing	crítico
e	CCONJ	e
atuante	ADJ.Masc.Sing	atuante
no	ADP_DET.Masc.Sing	em_o
ambiente	NOUN.Masc.Sing	ambiente
ao	ADP_DET.Masc.Sing	a_o
qual	PRON.Rel.Masc.Sing	qual
está	AUX.Fin.Sing	estar
inserido	VERB.Part.Masc.Sing	inserir
.	PUNCT.Sent	.
