_NAME_,Factor1,Factor2,Factor3,Factor4,loaded,factor,pole
v000039,0.2679253073,-0.057806349,0.1851177191,0.4418100573,1,fac4,1
v000040,0.1756028168,-0.184416951,-0.175296647,-0.446615065,1,fac4,-1
v000041,0.3200717369,0.3368196528,0.0927305134,0.2479336017,1,fac2,1
v000042,0.2409229945,-0.074142979,0.2450378752,-0.066101431,0,,
v000043,0.2097800134,0.0186208198,0.1245614199,0.0797098777,0,,
v000044,-0.288996358,0.4469189132,-0.376880173,0.5964129593,1,fac4,1
v000045,0.0482883851,0.398321261,0.0122506858,0.4669454255,1,fac4,1
v000046,0.3729987281,0.1982295349,0.0442956353,0.0918163743,1,fac1,1
v000047,0.2580643422,0.0628581084,-0.116816161,0.3319071311,1,fac4,1
v000048,0.4053710541,-0.171251883,0.0115842192,-0.053813873,1,fac1,1
v000049,0.3258185612,0.1522295703,0.107403793,-0.092222114,1,fac1,1
v000050,0.5053012692,-0.227341862,0.1083223608,-0.381029546,1,fac1,1
v000051,0.1597662197,0.1467049816,0.3674010723,-0.178379977,1,fac3,1
v000052,-0.107186534,-0.07138857,-0.287395945,0.0570425301,0,,
v000053,0.4197420346,0.1269675784,0.1213178083,-0.135127556,1,fac1,1
v000054,0.4075345574,-0.073849201,0.1970782517,-0.128568632,1,fac1,1
v000055,0.3898100695,0.104341782,-0.103958533,-0.146327822,1,fac1,1
v000056,0.4155430346,-0.034993386,0.137828718,0.0271543776,1,fac1,1
v000057,0.4775365353,-0.543541952,-0.032199683,0.0158231686,1,fac2,-1
v000058,-0.262145111,-0.473935466,0.8292056751,0.1196926325,1,fac3,1
v000059,0.4924556543,-0.066876431,0.1406636901,-0.28440808,1,fac1,1
v000060,0.4640602098,-0.232333623,0.1274954812,-0.12383816,1,fac1,1
v000061,-0.412966488,-0.185711617,-0.350795103,0.5870522841,1,fac4,1
v000062,0.2279896384,0.2258169952,0.0632270442,-0.177113658,0,,
v000063,0.1317084003,-0.282676368,0.2456927573,0.6379807098,1,fac4,1
v000064,0.3465817014,0.2700060224,0.0663120687,-0.181222217,1,fac1,1
v000065,0.2422129284,0.204014615,0.0242544675,0.1283441486,0,,
v000066,0.325237576,-0.485230373,0.3481405261,0.3046393462,1,fac2,-1
v000067,0.2798987021,-0.201803357,0.1298520191,0.0633360809,0,,
v000068,0.3482249163,0.0332781441,0.1900261288,-0.251085499,1,fac1,1
v000069,0.4650756146,-0.683032231,-0.35383699,0.1024767789,1,fac2,-1
v000070,0.1350096792,0.2353888136,0.0419101568,0.0857967981,0,,
v000071,0.2273778245,-0.252950786,-0.106549784,-0.207259647,0,,
v000072,0.11355209,0.2697925886,-0.241804913,-0.486143181,1,fac4,-1
v000073,-0.489166919,0.132764634,-0.367145859,-0.264737261,1,fac1,-1
v000074,0.2318008033,-0.014391157,0.3549214499,0.0265531811,1,fac3,1
v000075,0.2955056761,0.0480834688,-0.073480398,0.1592822234,0,,
v000076,0.294257644,-0.057049595,0.1479110387,-0.037028116,0,,
v000077,0.0572571729,-0.083530237,0.0406851673,-0.122647663,0,,
v000078,0.1068760899,0.4081626758,0.068730616,0.0458285025,1,fac2,1
v000079,0.2825038182,0.1110767748,0.3098567815,0.0775284152,1,fac3,1
v000080,0.127168576,0.0632796127,0.4595528599,0.0437981994,1,fac3,1
v000081,0.324282793,0.0909231964,0.1065795171,0.0601384334,1,fac1,1
v000082,0.3107189973,0.2233226766,0.2204025079,0.1509262596,1,fac1,1
v000083,0.0425264991,0.1240750441,0.0080869985,0.0322443805,0,,
v000084,0.3457861791,0.051601524,0.1833010736,0.377966733,1,fac4,1
v000085,0.3552425418,0.0348618824,-0.070342514,0.1898771635,1,fac1,1
v000086,0.3086356836,0.4535506786,-0.019921794,-0.167149813,1,fac2,1
v000087,0.3943058119,-0.059231749,-0.018757505,0.0109958278,1,fac1,1
v000088,0.2228449049,0.0374517484,0.2064093893,0.2161272701,0,,
v000089,0.4528262236,0.0980481315,0.0989730941,-0.627345867,1,fac4,-1
v000090,0.0017832739,0.0936036073,0.5861509876,-0.445808799,1,fac3,1
v000091,0.2000682937,0.1957613068,-0.000478439,-0.299683651,0,,
v000092,0.1744143395,0.156074554,0.2565768346,-0.371363413,1,fac4,-1
v000093,0.4632355803,-0.135048872,0.1764147311,0.0411627788,1,fac1,1
v000094,0.4084001141,-0.215439421,0.2522495758,-0.1873044,1,fac1,1
v000095,0.4940004431,-0.020919656,0.0623202596,-0.066135021,1,fac1,1
v000096,0.3103549308,-0.036616369,0.1539342724,-0.032269959,1,fac1,1
v000097,0.347184182,0.2706608986,0.0709736479,-0.275966419,1,fac1,1
v000098,0.1885907558,0.2075855187,0.1966329484,-0.296138002,0,,
v000099,0.2815203794,0.1490852155,0.0898075675,0.0598513774,0,,
v000100,0.1368316135,0.2603380467,-0.112377453,0.4571615874,1,fac4,1
v000101,-0.015518291,-0.592047474,-0.085872141,0.1518723119,1,fac2,-1
v000102,-0.966830417,-0.356943368,0.4846585049,-0.173396917,1,fac1,-1
v000103,-0.694843099,-0.327563274,0.6285738275,-0.051532894,1,fac1,-1
v000104,-0.058650585,0.2223904665,-0.282843089,-0.016061317,0,,
v000105,0.1534437788,0.344036476,0.0208633131,0.0839532925,1,fac2,1
v000106,0.2773646175,0.1587405262,-0.03730016,0.0151516876,0,,
v000107,0.3864340804,0.0009562945,0.0883531348,0.111332498,1,fac1,1
v000108,0.4207020414,0.4120040547,-0.051342259,-0.150937017,1,fac1,1
v000109,-0.724002442,-0.352021015,0.7490271788,0.254773726,1,fac3,1
v000110,-0.33320887,0.0426325927,0.87729285,-0.085813337,1,fac3,1
v000111,0.2446745001,0.0731889572,0.191667031,0.029646642,0,,
v000112,0.2390235188,0.1057721286,0.504586917,-0.177857501,1,fac3,1
v000113,-0.157253118,0.3082640662,-0.095321165,0.337750082,1,fac4,1
v000114,0.3831813599,0.0354360174,0.0199057979,-0.093451636,1,fac1,1
v000115,-0.673992675,-0.369145614,-0.611822305,-0.057082038,1,fac1,-1
v000116,0.1174776439,-0.189800175,-0.232784706,-0.169767688,0,,
v000117,0.1654939139,-0.25955344,0.2799190602,0.0116947457,0,,
v000118,-0.537524836,-0.339458318,0.5961559127,0.0545395361,1,fac3,1
v000119,0.2405773634,0.1252393579,-0.032238446,0.3256664928,1,fac4,1
v000120,-0.167725605,-0.54640554,0.1472052071,0.0983385865,1,fac2,-1
v000121,0.1009001569,-0.17523311,0.216425154,0.6997176198,1,fac4,1
v000122,-0.106867471,-0.196526046,0.6474493863,0.0329918175,1,fac3,1
v000123,-0.208040342,-0.053780813,0.8259930388,0.0574658868,1,fac3,1
v000124,-0.151804334,-0.222821331,0.9057305012,0.12558089,1,fac3,1
v000125,0.20636285,0.1638506813,0.2633266015,-0.22675089,0,,
v000126,0.0039060339,-0.296537205,0.1061953664,-0.510618524,1,fac4,-1
v000127,-0.012519178,0.3427042778,0.3952921928,0.2414702945,1,fac3,1
v000128,0.3304270638,0.092376802,0.1264674088,0.0005007251,1,fac1,1
v000129,0.3261205655,-0.092307939,0.1693942237,-0.139144908,1,fac1,1
v000130,-0.014547275,0.6021959448,-0.106823942,-0.148274496,1,fac2,1
v000131,0.2798112014,0.1911159833,0.1148561356,0.491319194,1,fac4,1
v000132,0.4871540411,0.0606597893,0.0682420551,0.3700263443,1,fac1,1
v000133,0.1819651851,0.4375778138,-0.029594586,0.0933756958,1,fac2,1
v000134,0.2046239689,0.5965661521,-0.042284628,-0.207057407,1,fac2,1
v000135,0.0161600171,-0.193016639,-0.297804993,0.1515343963,0,,
v000136,0.2878521152,-0.171455218,0.2800688405,0.3312620941,1,fac4,1
v000137,0.2487743527,0.5229919986,0.1087737601,-0.331889854,1,fac2,1
v000138,-0.327406855,-0.155974541,0.8470065784,0.0282421908,1,fac3,1
v000139,0.3671964881,-0.15664065,-0.078893782,0.2692229533,1,fac1,1
v000140,0.0287997472,-0.532344637,0.4409943563,-0.052641325,1,fac2,-1
v000141,0.0306414141,-0.116354669,-0.261892799,0.151720973,0,,
v000142,0.4177964215,-0.058654735,0.0055271945,0.2994808148,1,fac1,1
v000143,-0.184827274,0.6543561641,-0.284896303,-0.530507923,1,fac2,1
v000144,0.0137313746,-0.504959643,0.2936804615,0.4462012447,1,fac2,-1
v000145,0.3727348162,-0.406700649,0.2774086618,-0.290212089,1,fac2,-1
v000146,0.3556978978,-0.425785767,0.350797917,0.0424091692,1,fac2,-1
v000147,-0.202211169,0.5647785842,-0.067716347,0.344321454,1,fac2,1
v000148,0.3482501254,0.0733873116,0.04341358,0.1016299925,1,fac1,1
v000149,0.2712034205,0.1590789736,0.3372392731,-0.007705516,1,fac3,1
v000150,0.1729551087,0.1130808589,0.2460334127,0.1166943127,0,,
v000151,-0.144896302,0.869708961,-0.13858111,-0.46104023,1,fac2,1
v000152,0.35844522,-0.101980266,0.1535340832,0.0980870072,1,fac1,1
v000153,0.0463723632,-0.06261555,0.3637558125,0.2843666793,1,fac3,1
v000154,-0.037512819,-0.128415638,0.5320783713,0.554074048,1,fac4,1
v000155,0.4138319232,-0.055371275,-0.02816618,0.1040584114,1,fac1,1
v000156,0.1709844187,0.1957304913,-0.035035581,0.5566302649,1,fac4,1
v000157,0.2510909767,-0.043204532,0.02027461,-0.013929727,0,,
v000158,-0.026565554,-0.501873721,-0.383752335,0.350662473,1,fac2,-1
v000159,0.320250692,0.0928745759,-0.106779773,0.0433512171,1,fac1,1
v000160,-0.180505981,0.5527478429,-0.162583858,0.1426034787,1,fac2,1
v000161,-0.053023604,-0.608390389,-0.055479715,0.7007757531,1,fac4,1
v000162,0.1435302813,-0.366750801,-0.199274679,0.006776211,1,fac2,-1
v000163,0.5051471792,-0.299998797,-0.363571896,-0.325888607,1,fac1,1
v000164,0.2662422174,0.0777730966,0.011927099,-0.144741572,0,,
v000165,0.2866155318,-0.118861829,0.2120123465,0.1634649268,0,,
v000166,0.3120066375,0.0124631356,0.0431080193,0.0114301438,1,fac1,1
v000167,0.2123597154,-0.188353049,0.554128603,-0.283684663,1,fac3,1
v000168,-0.538131785,0.0386053099,0.6221351665,-0.160005475,1,fac3,1
v000169,-0.446336771,-0.183819206,0.5624976721,-0.057144771,1,fac3,1
v000170,0.4316349612,-0.443294114,-0.114568713,-0.114075867,1,fac2,-1
v000171,0.4720063506,-0.555482957,0.1653066712,0.0098183038,1,fac2,-1
v000172,-0.360172852,-0.248181569,-0.523491487,-0.057952666,1,fac3,-1
v000173,0.1336158877,0.2570710347,0.00637998,-0.042212704,0,,
v000174,0.3194833517,0.1376308613,-0.250536945,-0.179421927,1,fac1,1
v000175,0.3169553738,0.0131664738,-0.060889488,-0.352265147,1,fac4,-1
v000176,-0.014928786,-0.182593236,-0.031811978,-0.146760731,0,,
v000177,0.3564460568,-0.057122817,0.0673600777,-0.033165488,1,fac1,1
v000178,0.402398483,-0.128926243,0.0309479471,0.0646341888,1,fac1,1
v000179,0.4445579101,0.1104595072,0.4483362326,-0.327329632,1,fac3,1
v000180,0.3553067,0.2326373203,-0.003429203,-0.011243927,1,fac1,1
v000181,0.1963813886,0.2695085328,0.0344488939,-0.004313647,0,,
v000183,0.4065304119,0.0331832954,-0.017418939,-0.009184933,1,fac1,1
v000184,0.2614148922,0.1666575628,0.1209330127,0.1387412774,0,,
v000185,0.2431057949,0.112992903,-0.149002793,-0.014936078,0,,
v000186,0.3097239296,0.342178613,-0.019006008,-0.091904563,1,fac2,1
v000187,0.293273338,0.1564762285,0.0304461574,0.0611828226,0,,
v000188,0.2860265544,0.0901270246,-0.093948634,0.0893403815,0,,
v000189,0.3474353105,0.032484147,0.2306266236,0.009648607,1,fac1,1
v000190,0.3433356361,0.0421488561,0.0384539151,0.2100069629,1,fac1,1
v000191,0.2249286563,0.3944802932,0.0078725417,0.031737924,1,fac2,1
v000192,-0.208294929,0.1903047939,0.692130055,-0.091057494,1,fac3,1
v000193,0.2528952492,-0.1655009,0.2920528068,0.130326058,0,,
v000194,0.1673370335,0.4251820045,0.2429384847,0.1473427069,1,fac2,1
v000195,0.0495458726,0.4200069907,-0.063989773,-0.243677873,1,fac2,1
v000197,0.4237252397,0.0768630444,0.1157205511,0.1041343291,1,fac1,1
v000198,0.2680855569,0.0574496269,0.3101784361,0.0520101874,1,fac3,1
v000199,0.5222101746,0.0803453033,0.0449461635,-0.036805634,1,fac1,1
v000200,0.4355572474,0.4260765774,0.1105588276,-0.129321782,1,fac1,1
v000201,0.2920226638,0.1837233089,-0.036213262,-0.00914818,0,,
v000202,0.4115921613,0.0507468247,0.097677554,0.1321785144,1,fac1,1
v000203,0.430896932,-0.042719077,0.0823414778,0.2231379489,1,fac1,1
v000204,-0.382971783,-0.395354157,-0.578696224,-0.05302431,1,fac3,-1
v000205,-0.045093774,0.123734679,-0.1356982,0.0181628784,0,,
v000206,0.2541062648,-0.047145914,0.249565911,0.0413212271,0,,
v000207,0.2876042947,0.5045639967,0.0651361958,-0.409371701,1,fac2,1
v000208,0.0387438962,0.0790272347,0.3933213061,0.167481917,1,fac3,1
v000209,0.1511206564,-0.689815096,0.010891044,0.1385056824,1,fac2,-1
v000210,0.4552164353,-0.002308715,-0.049619892,0.1193813396,1,fac1,1
v000211,0.4249470519,-0.074753592,-0.117908925,0.0382197395,1,fac1,1
v000214,0.4296648286,-0.002639161,-0.11767241,0.0216979627,1,fac1,1
v000215,0.1585913375,-0.241516106,0.0812207728,0.5875981745,1,fac4,1
v000216,0.1231356017,-0.216949515,0.0045329616,0.4091244394,1,fac4,1
v000217,-0.026035189,-0.031770528,-0.174377329,-0.09739729,0,,
v000218,-0.006801467,-0.133421156,0.8276600535,-0.1606985,1,fac3,1
v000219,0.1829567705,0.1249653057,0.3585622515,0.0200611236,1,fac3,1
v000220,0.4307037325,-0.003233595,0.0509142054,-0.23851456,1,fac1,1
v000221,0.222383839,-0.106857891,0.2804488234,0.0324668766,0,,
v000222,0.1456223074,0.0045812261,0.1919835975,-0.057429474,0,,
v000223,0.2811043919,0.1600383857,0.1716072289,-0.353872078,1,fac4,-1
v000224,0.2651078071,0.0532299526,0.0490495608,-0.084497017,0,,
v000225,0.4685029847,-0.081548701,0.0186434496,0.1803870159,1,fac1,1
v000226,0.1103817613,0.4898281447,-0.155167699,-0.262772913,1,fac2,1
v000227,0.2971970834,0.3790402301,0.1335531243,-0.244789911,1,fac2,1
v000228,-0.239140298,0.4018966819,0.6173157168,0.1050175593,1,fac3,1
v000229,0.2330204477,-0.078845457,0.1224529413,0.09023322,0,,
v000230,0.2687375448,0.0903627515,0.3135441107,0.1051994995,1,fac3,1
v000231,-0.191910339,0.052397714,0.5275020613,0.1174862305,1,fac3,1
v000232,0.3470104292,0.2191161821,0.0588631579,0.3977926819,1,fac4,1
v000233,0.0839415309,-0.100453094,0.0967859839,0.3594247595,1,fac4,1
v000234,0.109042821,-0.013688106,0.6082360056,-0.116704124,1,fac3,1
v000235,0.0879009105,0.4275992823,-0.068688364,-0.442898905,1,fac4,-1
v000236,0.3628072806,0.2145118559,0.2060902336,-0.121161204,1,fac1,1
v000237,0.4426080046,-0.16908563,-0.066409667,0.020068248,1,fac1,1
v000238,0.2775061751,-0.073724769,-0.212237586,0.0360261614,0,,
v000239,0.0356022751,0.147001976,0.6052416316,-0.07030652,1,fac3,1
v000240,0.0041478784,0.1924228489,0.1405291918,-0.377925052,1,fac4,-1
v000241,0.0276243346,0.1276336691,0.5462544067,-0.097937215,1,fac3,1
v000242,-0.192410717,-0.381204154,0.502089891,0.4683358628,1,fac3,1
v000243,0.2215022642,0.3604161462,0.10045854,-0.058474358,1,fac2,1
v000244,0.2108971097,-0.012354798,0.5335117395,-0.23538478,1,fac3,1
v000245,0.1697581662,0.3304466276,-0.121405691,0.13217493,1,fac2,1
v000246,0.0413238866,0.7521559507,0.0063974947,-0.255974176,1,fac2,1
v000247,0.1679059592,0.5615684377,0.0177042714,-0.021389287,1,fac2,1
v000248,0.0853439015,-0.674445332,-0.020451944,-0.214058701,1,fac2,-1
v000249,0.001290133,-0.036022694,0.3215520821,-0.113169303,1,fac3,1
v000252,0.4124946119,-0.025682124,-0.01530788,0.166168374,1,fac1,1
v000253,0.3340164131,0.0389588717,0.1382725913,0.0778124014,1,fac1,1
v000254,-0.351104567,-0.430199537,0.7930173382,-0.084613072,1,fac3,1
v000255,-0.081987638,0.5377040529,-0.172770312,-0.128389252,1,fac2,1
v000256,0.3290160882,0.2793629134,-0.102149641,-0.074402739,1,fac1,1
v000257,0.3356927948,0.143704513,0.2137342074,0.0603390001,1,fac1,1
v000258,-0.558230121,0.1314608387,-0.626780501,-0.259866353,1,fac3,-1
v000259,0.2144161828,0.3712175777,0.2608198476,0.1667943847,1,fac2,1
v000260,0.2827737441,0.2014605764,-0.139563081,0.2043624196,0,,
v000261,0.1853753591,0.0223728068,0.3607623192,-0.06869866,1,fac3,1
v000262,0.2783575943,-0.006809059,0.0944766273,0.1583247248,0,,
v000263,0.2770252113,-0.049903088,0.4021279918,0.0304701254,1,fac3,1
v000264,0.4060957664,-0.030980183,0.3355724836,-0.088393558,1,fac1,1
v000265,-0.774710014,-0.337774974,-0.540464768,-0.00518217,1,fac1,-1
v000266,-0.994331508,-0.48700413,0.0795798795,-0.328110662,1,fac1,-1
v000267,-0.529951992,-0.101260893,0.507246256,-0.001047121,1,fac1,-1
v000268,0.2488323559,-0.038052687,0.1293816544,-0.09458184,0,,
v000269,0.3371566744,-0.207808855,0.161089995,-0.252181709,1,fac1,1
v000270,0.406936612,0.0711077515,-0.030942339,0.1120085473,1,fac1,1
v000271,0.0760940588,0.0522272189,0.4707768315,0.0557438505,1,fac3,1
v000272,0.2855798213,-0.045947329,0.0343235745,-0.066586133,0,,
v000273,0.3268899757,-0.002249599,0.2924003288,0.1005539914,1,fac1,1
v000274,0.3791176818,0.2038333817,0.1161308176,0.1311490786,1,fac1,1
v000275,-0.150243005,-0.086616277,-0.492482299,-0.041130036,1,fac3,-1
v000276,-0.607896321,-0.3315145,-0.590680631,-0.09727233,1,fac1,-1
v000277,-0.187677366,-0.294731027,-0.533909856,-0.01450089,1,fac3,-1
v000278,-0.418642933,-0.208453225,0.3917611206,0.0573865817,1,fac1,-1
v000279,0.3121247184,-0.029444354,0.2045461714,0.1309611872,1,fac1,1
v000280,-0.145892199,0.3562364771,-0.064223929,0.0758524672,1,fac2,1
v000281,0.1481536378,0.3896158964,0.137655411,0.0627451988,1,fac2,1
v000282,0.3151807781,-0.228676682,-0.009487119,0.0463107581,1,fac1,1
v000283,0.2825345511,0.0675114932,-0.138532264,-0.151815792,0,,
v000284,0.4054242664,0.1308770158,-0.077334443,-0.17235454,1,fac1,1
v000285,0.3804038914,-0.01629901,0.0325709912,0.1376960553,1,fac1,1
v000286,0.1721507713,0.0734873655,0.3306946036,0.0826123223,1,fac3,1
v000287,0.2036582553,0.3861290982,-0.041980409,-0.515129149,1,fac4,-1
v000288,0.3590763144,0.291013535,0.0193341476,-0.266180634,1,fac1,1
v000289,0.6064574293,-0.015471381,0.1158195709,0.263619169,1,fac1,1
v000290,0.3507090004,0.0065937954,0.134839451,0.1562094975,1,fac1,1
v000291,0.2777151444,0.0392973402,0.0251405541,-0.042606629,0,,
v000292,0.2870047633,0.2364553078,-0.063305972,0.2933994948,0,,
v000293,0.4761664763,-0.216487707,-0.093550136,-0.182943635,1,fac1,1
v000294,0.1226862105,0.4356880343,0.219945568,0.3706620746,1,fac2,1
v000295,0.3780865103,0.2168004026,-0.08134975,0.0348323672,1,fac1,1
v000296,-0.17771024,0.59218977,-0.057909827,-0.161278829,1,fac2,1
v000297,0.1058194778,0.4690786598,-0.054187302,0.1536761873,1,fac2,1
v000298,0.2266251879,-0.034080707,0.2702419857,0.0875732408,0,,
v000299,-0.268357789,0.5393541321,-0.328346536,-0.001246355,1,fac2,1
v000300,0.4071520259,0.1480857075,0.0104234452,0.0225070378,1,fac1,1
v000301,0.3938424281,0.0820163883,0.0392105632,0.1075185248,1,fac1,1
v000302,0.3164710239,0.3052426475,0.0219302003,-0.114055163,1,fac1,1
v000303,0.1658909749,0.2946361866,-0.013193003,0.3325852395,1,fac4,1
v000304,0.7187277442,-0.518340743,-0.143684144,0.0770116787,1,fac1,1
v000306,0.2433474683,0.2381155476,-0.088277886,0.0101774127,0,,
v000307,0.2083872616,0.1478154806,0.1290634934,0.0463547994,0,,
v000308,0.0952400555,0.6072305688,-0.059958611,0.1175208471,1,fac2,1
v000309,0.0628065043,0.077599698,0.1039731741,-0.184402191,0,,
v000310,0.1300197124,0.1593868667,0.2137427696,-0.052796682,0,,
v000311,0.4367149592,0.0278965594,0.1814925611,0.0841377983,1,fac1,1
v000312,0.3209462253,-0.080627811,0.1513334021,0.1520860885,1,fac1,1
v000313,0.1847400585,0.0583557965,0.4396361434,-0.16703425,1,fac3,1
v000314,-0.322542208,0.1025669382,0.2009220545,-0.158868906,1,fac1,-1
v000315,-0.077818258,0.3079180505,0.2116681043,-0.295191778,1,fac2,1
v000316,0.2169892076,0.1201524248,-0.104779251,0.1067266006,0,,
v000317,0.2130413344,0.4392118291,0.1471964772,-0.183661033,1,fac2,1
v000318,0.0406820448,-0.030899443,-0.277693442,0.1579790839,0,,
v000319,-0.018352625,0.2110837182,0.3973481799,0.1696409876,1,fac3,1
v000320,-0.541110642,-0.44779911,0.7045111044,-0.275530964,1,fac3,1
v000321,0.0377011875,-0.323558448,0.4336274477,0.0762957427,1,fac3,1
v000322,-0.010769086,-0.491153854,0.226850049,0.0642427572,1,fac2,-1
v000323,-0.245551686,0.6058367486,-0.124000741,-0.054170312,1,fac2,1
v000324,-0.456007989,0.3990039654,-0.458456577,0.2863722335,1,fac3,-1
v000325,0.1731965519,0.1908546027,0.1696607237,0.4042966591,1,fac4,1
v000326,0.3100249277,0.1341490415,-0.072402846,0.2908693975,1,fac1,1
v000327,0.4898331274,-0.096967986,-0.003812691,0.0066831822,1,fac1,1
v000329,0.158431787,0.2953732247,0.1977089688,0.0806140796,0,,
v000330,0.082092153,0.2963578386,0.1766714628,0.0414657401,0,,
v000331,0.2136253995,0.4281980151,0.1162882131,0.0698478091,1,fac2,1
v000332,0.0043439717,0.3032863152,-0.040680762,-0.208297231,1,fac2,1
v000333,0.2631313172,0.1114343641,-0.024945773,-0.145594599,0,,
v000334,0.2605829473,0.2513758823,0.0379284078,-0.11795525,0,,
v000335,0.1998743492,0.5620166724,-0.126689012,-0.327100092,1,fac2,1
v000336,-0.120684274,0.5564432839,0.0054414695,0.1507329531,1,fac2,1
v000337,-0.843581726,-0.096751627,-0.711449526,0.1391092297,1,fac1,-1
v000338,-0.54618548,-0.435327442,0.5677245622,-0.334364265,1,fac3,1
v000339,0.1874865323,-0.044981242,-0.241783404,0.0843834698,0,,
v000340,0.3609745288,0.1248648339,0.0281307917,0.1056605477,1,fac1,1
v000341,0.4176908017,-0.003528525,-0.080962815,0.0064818482,1,fac1,1
v000342,0.3549154023,0.1347240483,0.2576477626,0.130607386,1,fac1,1
v000343,0.0057737733,0.3257737343,0.2943518958,-0.339327042,1,fac4,-1
v000344,0.0971258919,0.0670573211,0.486713374,-0.169993254,1,fac3,1
v000345,-0.265004637,-0.14440136,0.5209428182,-0.296697325,1,fac3,1
v000346,-0.889821685,-0.330349218,0.7978771647,-0.219411666,1,fac1,-1
v000347,0.3460686327,0.422866079,-0.033934596,-0.271184131,1,fac2,1
v000348,0.0098057421,0.1037022517,-0.068944775,-0.227193416,0,,
v000349,-1.138724018,-0.344359414,0.6012500185,-0.296107541,1,fac1,-1
v000350,0.4040599999,0.1792083683,0.1561464077,-0.132053594,1,fac1,1
v000351,0.2641704993,0.1764203848,0.0672316376,0.0040900598,0,,
v000352,0.0906061051,0.0284033199,-0.318832528,0.2970542649,1,fac3,-1
v000353,0.030843649,0.2140124429,-0.13878614,0.0901408922,0,,
v000354,0.5137810653,-0.044395182,0.0130251009,0.0370706,1,fac1,1
v000355,0.0327407345,0.6430519824,0.0489518748,0.0414859703,1,fac2,1
v000356,0.5575690275,-0.273171894,0.1894625629,-0.0348582,1,fac1,1
v000357,0.4006713068,0.1419425115,-0.121817239,0.3413427307,1,fac1,1
v000358,0.2401475379,0.3395993763,-0.079060382,0.1482107899,1,fac2,1
v000359,0.1744198316,0.0386841121,0.4801646979,0.0086779308,1,fac3,1
v000360,0.1815741252,0.2169011401,0.1578251015,-0.134934783,0,,
v000361,0.0038745439,0.4040130817,-0.319465638,0.2131355551,1,fac2,1
v000362,-0.478252602,0.539420536,-0.342036986,0.1204479157,1,fac2,1
v000363,0.4938640257,-0.158063756,0.2578824754,-0.175942172,1,fac1,1
v000364,0.2771046516,0.3243745817,-0.013027117,-0.109901713,1,fac2,1
v000365,-0.556003448,-0.382388029,0.8151579712,-0.217658718,1,fac3,1
v000366,0.4297746727,0.2619014933,-0.048284544,-0.26154779,1,fac1,1
v000367,0.1131340913,0.0407483,0.3443303342,-0.115013609,1,fac3,1
