_NAME_,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,loaded,factor,pole
v000020,-0.294765905,-0.599436131,-0.27475071,1.0442297738,-0.28992616,-0.000669577,1,fac4,1
v000021,-0.486681265,0.4308736448,0.0032147322,0.4955381002,0.0819080934,0.3218070461,1,fac4,1
v000022,-0.005873162,0.5165207474,0.0355208512,0.5984252665,-0.045704482,0.0960020564,1,fac4,1
v000023,0.2384274983,-0.002446951,0.6142055644,-0.204679692,0.2418721787,-0.038388382,1,fac3,1
v000024,0.1323273596,-0.099049381,-0.192600148,0.5245502948,0.0544563398,-0.097044358,1,fac4,1
v000025,-0.304671201,0.0069810549,-0.311164101,0.0235959703,-0.16737112,-0.072477171,1,fac3,-1
v000026,0.3461751651,-0.175910853,0.0246300776,0.46949343,0.1077220455,-0.130455104,1,fac4,1
v000027,0.2730680432,0.2212185828,0.2389963798,-0.230635767,0.2719673176,-0.150394694,0,,
v000028,0.3246133908,0.2086538976,-0.045210263,-0.132124531,0.0015076387,-0.063096549,1,fac1,1
v000029,0.194255025,-0.400190473,-0.128978133,-0.032167232,-0.234838593,-0.21037478,1,fac2,-1
v000030,-0.10865369,0.7605063193,0.3476236234,0.0761873701,-0.161635841,-0.148388381,1,fac2,1
v000031,0.329638077,0.085959248,-0.222407683,-0.12419392,0.0000199326,-0.247758726,1,fac1,1
v000032,0.2716341693,0.0773077206,-0.252685759,0.0360873706,0.1184718228,-0.00948525,0,,
v000033,-0.177443562,0.3928069773,-0.151253398,0.0233277259,0.0455399029,-0.076653748,1,fac2,1
v000034,-0.085611549,0.2388571748,-0.084495118,0.4323400475,0.4328970131,-0.318865417,1,fac5,1
v000035,-0.24788583,0.4378967476,-0.105069202,0.3733212901,0.3560298316,-0.256480081,1,fac2,1
v000036,0.4008862559,0.0007180705,-0.129351946,0.6333611508,-0.102749128,-0.194121854,1,fac4,1
v000038,0.3781114045,0.1242464604,-0.248502876,0.4168441686,0.0431608974,-0.128946481,1,fac4,1
v000039,0.1897395671,-0.015947322,-0.109676794,0.1998363799,-0.073014165,0.3233301902,1,fac6,1
v000040,0.4931510139,-0.15800978,0.0936596263,0.2984509913,-0.172175537,-0.041258019,1,fac1,1
v000041,-0.118477779,-0.342595492,-0.267269966,-0.149343981,0.3758612773,0.5758017439,1,fac6,1
v000042,0.3522566132,0.3152237641,0.0102220733,0.1405179821,-0.185826151,0.1502579329,1,fac1,1
v000043,0.3275594019,0.1901593848,0.0137976655,-0.123294571,0.0267844632,0.183590342,1,fac1,1
v000044,0.2902160943,-0.047646082,0.069013686,-0.010645513,-0.082323479,0.0519502811,0,,
v000045,0.471857577,-0.234702774,-0.07689569,0.3422359173,0.0339217793,-0.063014615,1,fac1,1
v000046,-0.074011182,0.5701905826,-0.148040103,0.1778379084,-0.25750026,-0.364386612,1,fac2,1
v000047,0.0668416773,0.3351181847,0.0086393864,0.3481463363,-0.285764384,0.3396166941,1,fac4,1
v000048,0.4395714844,0.2120314601,-0.008358954,-0.104159302,-0.064405075,-0.029756198,1,fac1,1
v000049,-0.291029746,-0.497733218,-0.36940804,-0.290020448,-0.062799776,-0.019287801,1,fac2,-1
v000050,0.4868054084,-0.073900661,-0.152150493,0.1177051999,-0.282658014,-0.072101659,1,fac1,1
v000051,0.2771189519,-0.140397976,-0.105006065,-0.026144687,0.1729707916,0.1496886891,0,,
v000052,0.3028299365,0.1394351372,0.0201852773,-0.187291351,0.1280495499,0.131685888,1,fac1,1
v000053,0.0573031237,-0.191899956,-0.07586025,-0.066715721,0.5586418501,0.7434568852,1,fac6,1
v000054,0.0693197652,0.2479222549,0.3145391012,-0.119865609,0.1270045938,0.1747897952,1,fac3,1
v000055,0.0848570344,-0.225914745,-0.186403121,0.0326282267,-0.123251323,-0.173285402,0,,
v000056,0.3465075277,0.1514201361,-0.065170538,-0.098280554,0.1193248128,0.1064992091,1,fac1,1
v000057,0.3024904236,0.0346149974,0.0888802031,-0.072047737,0.2886385274,0.110260559,1,fac1,1
v000058,0.4476004154,-0.070672432,-0.025186205,0.0447329334,0.059663361,0.0362549423,1,fac1,1
v000059,0.3278809385,-0.176330125,-0.016881974,-0.145328332,0.5621919188,-0.15077752,1,fac5,1
v000060,0.3308927766,-0.025463842,-0.025945091,0.1293236253,0.1327041929,-0.035040338,1,fac1,1
v000061,-0.002156147,-0.359431923,0.9091351158,0.2397953748,0.1906208025,-0.069995321,1,fac3,1
v000062,0.4497855702,-0.148607751,-0.015403494,-0.245153168,0.1490058288,0.1700184629,1,fac1,1
v000063,0.3288011885,-0.344654584,-0.054056487,-0.048332313,0.1702747977,0.4493472477,1,fac6,1
v000065,-0.274193583,-0.271277801,-0.266983392,0.8376563999,-0.181994213,-0.093673167,1,fac4,1
v000066,0.0592602055,0.4932223103,-0.057079295,0.0888958826,-0.040822574,0.0409732326,1,fac2,1
v000067,-0.051000788,-0.136570377,0.0779897754,0.9397813533,0.2274794031,0.4732515268,1,fac4,1
v000068,0.1119218775,0.2469042362,0.0035806212,-0.078417453,0.0478038022,0.4964835528,1,fac6,1
v000069,0.1130931118,0.3139014588,-0.080571118,0.1212126985,0.0659030441,0.0801452785,1,fac2,1
v000070,0.1962074383,-0.237300441,0.2338767365,0.5151228869,0.4550597584,0.2648621687,1,fac4,1
v000071,0.2679485342,-0.182041369,0.0548386498,0.0554001054,0.0969899483,0.1144051421,0,,
v000072,0.3232165893,-0.158467372,0.0990216141,-0.216853215,-0.056267192,0.3852763752,1,fac6,1
v000073,0.2129340291,-0.241817901,-0.195979092,-0.032269536,0.2396997805,-0.027088689,0,,
v000074,0.0293355275,0.0267881065,-0.256129014,-0.474896019,-0.172134998,0.3225596666,1,fac4,-1
v000075,-0.658038465,0.3203176905,-0.105794395,-0.076790816,0.2244021905,-0.102815801,1,fac1,-1
v000076,0.4754985038,-0.121630868,0.3057295572,-0.058162215,-0.026769575,-0.04764078,1,fac1,1
v000077,0.5754559614,-0.025112644,-0.134336183,-0.044314259,-0.129248305,-0.372003617,1,fac1,1
v000078,0.28062179,0.033971372,0.1137236304,-0.042823069,0.2463154828,0.1198829655,0,,
v000079,-0.139168039,-0.134283596,0.0289091888,0.200222389,0.0860714485,0.4859342958,1,fac6,1
v000080,0.0408470165,0.4279631477,-0.008263567,-0.010633802,-0.07658856,0.0100903624,1,fac2,1
v000081,0.3207486283,0.1489375223,0.2312126311,0.004794802,0.0485952242,0.0938534652,1,fac1,1
v000082,0.294416867,0.1856644841,0.0342992522,-0.002505326,0.1464018755,0.0452641927,0,,
v000083,0.4092496758,0.263439743,0.1297170345,-0.011401113,-0.047786505,-0.078084839,1,fac1,1
v000084,0.5408631829,-0.013558049,0.0896857242,0.2251409004,-0.243327642,-0.017594772,1,fac1,1
v000085,0.2060760486,0.0419061746,0.0919515783,0.1179396504,0.0466071533,0.0059362124,0,,
v000086,0.3410618353,0.0415890851,-0.18927637,0.1700317118,0.0462551085,0.0316366536,1,fac1,1
v000087,0.1738417004,0.4387002609,-0.144259763,-0.194774485,-0.035515267,0.2150834467,1,fac2,1
v000088,0.2742146967,-0.020986007,-0.17100687,0.0513572053,0.1819765454,0.0587499433,0,,
v000089,0.1905913017,0.2749922653,0.1644651647,0.1567806011,0.2499067026,-0.039723397,0,,
v000090,0.2361520714,-0.004495372,-0.077043497,-0.467810156,0.2026623531,0.3683484911,1,fac4,-1
v000091,0.0712663791,-0.084002882,0.6009376483,-0.41975514,-0.163564386,0.3913183507,1,fac3,1
v000092,0.3081452104,-0.165478305,-0.094907259,-0.434928104,-0.255066929,0.1845587259,1,fac4,-1
v000093,-0.051508265,-0.182659136,0.7263068906,-0.404057478,-0.194823209,-0.127736927,1,fac3,1
v000094,0.4193970004,-0.122858813,0.0211712099,0.0616276835,0.1323652858,0.1324807539,1,fac1,1
v000095,0.26809501,-0.087976361,0.1596420639,-0.185685131,0.2937341249,0.1957291827,0,,
v000096,0.2849173708,-0.038147806,0.0327965732,0.0222814463,0.1363352493,0.1301365625,0,,
v000097,0.2956555717,0.1498807476,-0.042759996,-0.289358028,-0.040209889,0.2427533958,0,,
v000098,0.0188965996,0.191432484,0.1008427298,-0.200083916,0.071013176,0.2415900697,0,,
v000099,0.2851593871,0.1285712694,-0.031309822,0.0842519873,0.0366709388,0.0625758678,0,,
v000100,0.3815475721,0.2847965391,-0.099626527,0.2288965071,-0.388870871,-0.219337336,1,fac5,-1
v000101,0.3618113309,0.2073996471,-0.086843371,0.2042013627,-0.310053553,-0.153709071,1,fac1,1
v000102,-0.326966501,-0.049103277,0.0166838112,0.2601854569,0.7942287196,-0.018982377,1,fac5,1
v000103,-0.554706873,-0.502584352,0.8524532244,-0.171170883,-0.282842698,-0.154441282,1,fac3,1
v000104,-0.396173843,-0.308659721,0.9057579405,0.0287070983,-0.119312825,-0.075579949,1,fac3,1
v000105,0.0455285242,0.157594641,-0.134385973,-0.19203822,-0.192470128,-0.069754866,0,,
v000106,0.2486741913,0.2801684203,0.0013669588,-0.034956777,-0.137475205,0.0549844674,0,,
v000107,-0.064447745,0.1288364528,0.0068451023,0.3858723561,0.0191469874,0.1376924175,1,fac4,1
v000108,0.1680675594,0.1175630609,-0.159230906,-0.015324822,-0.044689987,0.1156344064,0,,
v000109,0.3163716392,0.0100954064,-0.074593552,0.151708608,0.1010884581,0.1094985406,1,fac1,1
v000110,0.1086339869,0.4904281797,-0.073058281,0.095279379,-0.115206033,-0.029531018,1,fac2,1
v000111,0.4418211697,0.3192849306,-0.160496067,-0.360315446,-0.144518181,0.0877315953,1,fac1,1
v000112,0.4521764023,-0.023755517,0.0800519414,0.2973236831,0.2321045036,-0.098192271,1,fac1,1
v000113,-0.229721799,-0.371477085,1.0672506487,0.1190122663,-0.234860322,-0.174398256,1,fac3,1
v000114,-0.019732238,0.1264941418,1.0360656457,-0.090547795,0.0476852264,-0.150818681,1,fac3,1
v000115,-0.238885199,0.5960934028,-0.01828823,0.3542569519,0.1784155383,-0.161934025,1,fac2,1
v000116,-0.540701078,-0.053849266,-0.196798101,-0.128522633,0.1483966529,-0.107958618,1,fac1,-1
v000117,-0.373743651,-0.576596308,-0.270775192,-0.160585781,-0.302998473,-0.380619894,1,fac2,-1
v000118,-0.08572202,-0.372644589,-0.289898182,0.047900339,0.0064086043,0.4775073202,1,fac6,1
v000119,0.1018193343,0.0843321652,0.3187956437,0.0199604292,0.5203430683,-0.061346165,1,fac5,1
v000120,0.0349781172,-0.270099012,-0.406680541,-0.454378993,0.435930415,0.1283786914,1,fac4,-1
v000122,-0.550148648,0.5875217376,-0.160063723,0.7399047487,0.2435608857,-0.169581108,1,fac4,1
v000123,-0.321981877,-0.215866638,0.7899633722,0.0848025826,0.0472232323,-0.061899847,1,fac3,1
v000124,0.3623475703,0.0865682614,-0.069976678,0.1593992491,-0.167004744,0.0530680589,1,fac1,1
v000125,-0.231183912,-0.240774156,-0.438891765,0.1081116734,0.090124467,-0.279714694,1,fac3,-1
v000126,-0.287532227,-0.137327322,0.2921045652,0.3148125473,0.5434925825,-0.110454261,1,fac5,1
v000128,0.1519702001,0.1437998749,0.1742513588,0.7896061047,0.2481521846,-0.195133956,1,fac4,1
v000129,0.1870090767,0.1508431368,-0.127845562,0.1501941466,0.0137817211,-0.043784575,0,,
v000130,0.2133246453,-0.148275561,0.761315881,-0.046284845,0.0186425036,-0.169310807,1,fac3,1
v000131,0.1810505345,-0.041380269,0.9546852464,-0.013599176,-0.09814399,-0.187108024,1,fac3,1
v000132,0.2145091242,-0.178003667,1.0393527699,-0.017890906,-0.002001955,-0.203341418,1,fac3,1
v000134,0.0225339305,0.3296281493,0.2184890314,-0.081360531,0.2827408266,0.2545075396,1,fac2,1
v000135,-0.021654354,-0.393219987,0.1373232637,-0.23436742,0.3459210733,0.1567300919,1,fac2,-1
v000136,0.1283886095,0.4567849677,0.4141543993,0.0887009612,0.0160781959,-0.079458348,1,fac2,1
v000137,0.2514187334,0.2975930796,-0.029146962,0.5375237313,0.0803419644,0.0381162094,1,fac4,1
v000138,0.0510496134,0.6031321092,-0.03469688,0.1233157465,0.0777501667,0.0864294356,1,fac2,1
v000139,-0.109156135,0.5832210684,-0.134155006,-0.065342867,-0.028007735,0.5158937057,1,fac2,1
v000140,0.19962731,0.3742987946,0.005622474,-0.19845249,-0.140088145,0.3028126013,1,fac2,1
v000141,-0.169690636,-0.241544659,0.930782932,0.1155873975,-0.052722174,0.2820041526,1,fac3,1
v000142,0.4233581526,-0.346200539,-0.22767985,0.2854084389,-0.064864667,0.2784158079,1,fac1,1
v000143,-0.153386092,-0.091324885,0.5297630387,0.0055903778,0.7219865147,0.0383413631,1,fac5,1
v000144,0.2859232703,0.0168450355,-0.089098951,0.1739645685,-0.078499998,0.7652302839,1,fac6,1
v000145,0.2383713767,-0.363500838,-0.238517788,-0.005709809,-0.37404584,-0.082893701,1,fac5,-1
v000146,0.514241304,-0.088807915,-0.127139909,0.1634189186,-0.021590184,-0.053000434,1,fac1,1
v000147,-0.462616518,0.5893759251,-0.188382797,-0.46972094,-0.098264937,0.3063158,1,fac2,1
v000148,-0.062538905,-0.414421375,0.2986414623,0.4162892833,0.0535126752,0.3372280179,1,fac4,1
v000149,0.2421052001,0.3160418768,0.1754400799,-0.090037023,-0.412882884,-0.00306479,1,fac5,-1
v000150,-0.206388554,0.780770345,-0.113487397,-0.14561484,-0.204511711,-0.124516096,1,fac2,1
v000151,0.1621444206,-0.19389091,0.1652266795,-0.042283481,0.6653796647,0.3360604391,1,fac5,1
v000152,0.4508315245,-0.268000002,0.2986198151,0.0263835905,0.2748885683,-0.066785014,1,fac1,1
v000153,0.3336126076,0.0843670296,-0.089113257,0.1420563332,0.073955067,0.0911834791,1,fac1,1
v000154,0.4668153752,0.0724851678,0.312377941,-0.30846539,-0.192826336,0.0830149096,1,fac1,1
v000155,-0.146132608,0.5629120805,0.0356998938,0.0325680207,-0.298995288,-0.205824058,1,fac2,1
v000156,0.5015209571,0.0604347749,-0.017074877,-0.054934174,-0.019882471,0.1122277475,1,fac1,1
v000157,-0.397111074,0.8048424819,-0.128150127,-0.308511114,-0.13392622,0.3857104155,1,fac2,1
v000158,0.3023129245,-0.112743465,0.3681499742,0.0950378604,-0.221197749,-0.001952272,1,fac3,1
v000161,0.3522287785,-0.077506657,0.5291898964,0.4565559651,-0.130273967,-0.311935305,1,fac3,1
v000162,0.4122700919,-0.273796091,-0.221417721,0.1253450797,-0.059024821,0.3565452383,1,fac1,1
v000163,0.3182196503,0.1304713055,-0.055617445,0.3698616124,-0.248361783,0.0845582727,1,fac4,1
v000164,0.2522874792,0.0828380731,0.0142030817,-0.06974748,0.1496678792,-0.086485266,0,,
v000165,0.1337875991,-0.492662244,-0.252375934,0.177758339,-0.084601828,-0.351690407,1,fac2,-1
v000166,0.2420381494,-0.063308562,-0.265044555,0.0630821645,-0.099133382,0.2238449785,0,,
v000167,0.0620176776,0.4700327114,-0.088606917,-0.004643466,-0.356657328,-0.304732274,1,fac2,1
v000168,0.0773511871,0.6639351819,-0.09588429,-0.077331561,-0.178240661,-0.097879746,1,fac2,1
v000170,0.1027850213,-0.519213318,-0.009018056,0.8380122065,0.0068702425,-0.030626496,1,fac4,1
v000171,0.1725846655,-0.195633959,-0.129805049,-0.182784327,0.3246481398,-0.367308315,1,fac6,-1
v000172,0.2923596325,-0.057043341,-0.345240353,-0.495376138,0.3912305925,-0.082354285,1,fac4,-1
v000173,0.2431875471,-0.019164571,-0.108387628,-0.167207029,-0.006607582,0.0536214287,0,,
v000174,0.5760681345,-0.336498095,0.1116519382,0.0282574122,-0.233496382,-0.047088278,1,fac1,1
v000175,0.0405550154,0.396987764,-0.049484033,0.1313434362,0.5819792401,0.0298375449,1,fac5,1
v000176,0.1306437784,-0.276766795,-0.118916483,-0.295123634,-0.274281139,0.2565101547,0,,
v000177,0.2414828945,-0.146561958,0.5289473214,-0.224177271,0.2378981463,0.1732586675,1,fac3,1
v000178,-0.387441812,0.027750008,0.8342604642,-0.026544271,-0.018255929,0.0927786777,1,fac3,1
v000179,-0.113593098,-0.323838247,0.7064936599,0.0453733255,-0.227122101,-0.021498965,1,fac3,1
v000181,0.1626111481,-0.140631522,-0.188824084,-0.009464595,0.6534505475,0.0211312216,1,fac5,1
v000182,0.3067714787,-0.080185475,0.1172114932,-0.070784243,0.6578431759,-0.182417856,1,fac5,1
v000183,-0.210314229,-0.44751335,-0.307169931,-0.091187846,-0.27062713,-0.161301812,1,fac2,-1
v000184,0.0939757889,0.3935188654,-0.019676456,-0.169386859,0.1955081391,-0.063806944,1,fac2,1
v000185,0.145637078,0.0275636667,-0.38766729,-0.175168973,-0.025327151,0.1507571758,1,fac3,-1
v000186,0.1480693573,0.1437116114,-0.125761766,-0.350888825,0.2734491595,0.08525256,1,fac4,-1
v000187,-0.030406277,-0.392879261,0.0147470106,-0.0721673,-0.023845519,0.4151128944,1,fac6,1
v000188,0.0237675585,-0.262653427,0.1234991086,0.0393594943,-0.007149543,1.3373973083,1,fac6,1
v000189,0.6363391533,-0.024308883,-0.10193373,-0.324941852,-0.41013082,-0.164526559,1,fac1,1
v000190,0.3004427667,0.1800968226,0.0038701953,-0.122429497,-0.167548217,-0.025603139,1,fac1,1
v000191,-0.119983605,0.0018822276,0.1206611639,-0.159679065,0.0636198506,0.2701099527,0,,
v000193,0.4054720966,-0.071619178,-0.152439223,-0.087856832,0.0234280465,0.1224222065,1,fac1,1
v000194,0.2885908026,0.0662244726,-0.169257315,-0.21640077,-0.060635629,-0.04023749,0,,
v000195,0.1532155286,0.0486538942,-0.129318351,-0.284248136,0.3317277792,0.1369128694,1,fac5,1
v000196,0.3976299857,0.2349201485,-0.045721302,-0.281934324,-0.153974113,0.0020985607,1,fac1,1
v000197,0.32277295,0.1326855379,-0.126473593,-0.190154662,-0.024930389,-0.077477394,1,fac1,1
v000198,0.4208278671,0.0716230621,-0.043202971,0.1191095678,-0.050343526,-0.073710674,1,fac1,1
v000199,0.2058401651,0.4372354137,-0.06189579,-0.070236574,0.0233299396,-0.022181028,1,fac2,1
v000200,0.0553063427,0.0824542621,0.7832198931,-0.160707551,-0.13261062,0.055421058,1,fac3,1
v000201,0.3349488363,-0.019425554,0.215586965,0.191053826,0.2558159691,-0.15588001,1,fac1,1
v000202,0.1627156823,0.2534561377,-0.068005451,-0.337355805,-0.209416513,-0.160369758,1,fac4,-1
v000203,0.5647988081,0.0588636896,0.0409919832,-0.041670532,-0.063614275,-0.10811038,1,fac1,1
v000204,0.3425852018,-0.003710015,0.1823344367,0.0457383382,0.0171512095,0.1059726673,1,fac1,1
v000205,0.3395389424,0.1485794245,-0.101638876,-0.085131481,-0.182838602,0.6070502782,1,fac6,1
v000206,0.2160993719,0.2116638123,-0.12067937,-0.029335093,0.0635926601,0.0431503385,0,,
v000207,0.4153200915,0.06120937,0.0111828774,-0.05238254,0.0245879788,0.0959087732,1,fac1,1
v000208,0.5008140246,-0.010731423,-0.043365655,0.0853081504,0.0645525066,-0.113435789,1,fac1,1
v000209,-0.243320795,-0.39428704,-0.327425749,-0.151541206,0.0876623847,-0.413571385,1,fac6,-1
v000210,0.090621585,-0.178217466,-0.115626135,-0.122186144,-0.433043987,0.1685727382,1,fac5,-1
v000211,0.3076439169,0.3004057285,-0.057396365,-0.370716124,-0.171689213,0.1954824353,1,fac4,-1
v000212,0.0069058087,0.3674866553,0.4017338477,0.2805303529,0.2439660317,0.0389849308,1,fac3,1
v000213,0.0048593448,-0.19926082,0.0755092711,0.1066255516,0.6877281313,-0.26777932,1,fac5,1
v000214,0.493596877,-0.081337993,-0.207298132,0.0291165107,-0.058182862,0.0660088171,1,fac1,1
v000215,-0.042488902,-0.420628587,-0.286041085,0.0471560934,-0.007422274,-0.166764856,1,fac2,-1
v000216,0.3167627353,-0.101569089,-0.261850759,0.0440748292,0.0783383082,0.1720678753,1,fac1,1
v000219,0.4196398645,-0.027976151,-0.260579998,-0.06137237,0.045257751,-0.00789488,1,fac1,1
v000220,0.3328422351,0.176881837,-0.007468667,0.0189458869,0.088524982,0.0375341547,1,fac1,1
v000221,0.0837355934,-0.070667515,0.8496562053,0.0264938656,0.1496787371,0.1873822421,1,fac3,1
v000222,0.4140880724,-0.027022413,-0.081610072,-0.152794879,0.1803983691,0.0506561008,1,fac1,1
v000223,0.1083329287,0.0934240834,0.2821212494,0.0199234282,0.2304970834,0.2265473813,0,,
v000224,-0.364399431,0.6936785187,-0.07103873,0.0345900761,-0.117761769,-0.007850228,1,fac2,1
v000225,-0.02406322,-0.291231287,-0.062071798,-0.029347792,-0.126929967,1.2478143403,1,fac6,1
v000226,0.291190767,-0.016710704,-0.023828287,-0.046982345,0.0770260096,0.1304788617,0,,
v000227,0.5118679167,-0.016575118,-0.106794535,0.032020031,0.1850292093,-0.061164621,1,fac1,1
v000228,0.127688136,0.3095495425,-0.177801504,-0.283582497,-0.261162522,0.0704932805,1,fac2,1
v000229,0.3651061544,0.2126314265,0.0180661942,-0.302271867,-0.222228872,0.1178277776,1,fac1,1
v000230,0.0326749251,0.5132060915,0.7209615701,0.1137300406,-0.052432602,-0.181542237,1,fac3,1
v000231,0.2749728233,0.2011937127,0.2550965643,0.079217814,0.1142093573,0.1204051705,0,,
v000232,0.0947487734,0.1159437067,0.6383135128,0.0229578307,-0.067123494,-0.211682236,1,fac3,1
v000233,-0.073549153,-0.215786158,0.671363833,-0.042543273,-0.124337516,-0.06599037,1,fac3,1
v000234,0.5566937102,0.0965306502,-0.083993463,0.2535358227,-0.224282269,-0.034470926,1,fac1,1
v000235,0.44176919,-0.388836261,0.0723079848,0.1482572645,-0.393185102,-0.018344243,1,fac1,1
v000236,0.2102043721,0.0859738168,0.6712672099,-0.159445603,0.028355662,0.0966462337,1,fac3,1
v000237,-0.157041594,0.3166241474,-0.098700978,-0.343750593,0.0048560611,0.4199117037,1,fac6,1
v000238,0.3865837038,0.1427944204,0.11764977,-0.197765013,0.0009380184,0.1660761035,1,fac1,1
v000239,0.37232327,-0.144962264,-0.221314071,-0.13824699,-0.120111522,-0.158928556,1,fac1,1
v000240,0.1801353358,0.0212524912,0.590771991,-0.089779035,-0.153452412,0.2181874117,1,fac3,1
v000241,0.1677405255,-0.064217565,0.1895421573,-0.449631594,-0.194497894,0.1717221456,1,fac4,-1
v000242,0.2972874967,0.4144007128,0.0641020864,-0.164352255,-0.04912668,-0.085293144,1,fac2,1
v000243,0.2655583609,-0.160977585,0.4470643245,-0.194579737,-0.010621144,0.3359293782,1,fac3,1
v000244,0.1755071828,0.3032967568,-0.197458077,0.0212508223,-0.138872417,-0.074320165,1,fac2,1
v000245,-0.131857544,0.766205761,-0.060145206,-0.186730416,-0.055436909,0.2363516884,1,fac2,1
v000246,0.0259805743,0.5886744962,-0.077494801,0.0476768485,-0.052841838,0.1474321829,1,fac2,1
v000247,-0.084398297,-0.225061944,0.0690530027,-0.156004746,0.7192359111,-0.147751121,1,fac5,1
v000248,0.2210737192,-0.131250048,0.3825184298,-0.125432987,-0.079851009,-0.052589338,1,fac3,1
v000249,-0.530819194,0.0273252802,0.1012381252,0.2940054894,-0.170051172,-0.319503707,1,fac1,-1
v000251,-0.005698167,0.1667904121,-0.300718703,-0.116452755,-0.12792483,-0.096481868,1,fac3,-1
v000254,-0.706677224,-0.161340026,-0.327753913,-0.015131282,-0.39241323,-0.330558709,1,fac1,-1
v000255,0.2944679471,0.140440478,0.0290045392,0.0279663324,0.1564032611,0.0249069379,0,,
v000256,-0.048614584,-0.447366806,0.9695255479,-0.103520914,0.0329719121,-0.021233819,1,fac3,1
v000257,-0.036806733,0.5356698895,-0.052358892,-0.217995246,-0.193143575,-0.145933206,1,fac2,1
v000259,0.3018278752,0.185686739,0.0861787232,0.0762608759,0.0719118727,0.1259948759,1,fac1,1
v000260,-0.472341143,-0.076721669,-0.292916516,-0.323098683,-0.290175917,-0.061343775,1,fac1,-1
v000261,0.3135441038,0.2478932088,0.1560353003,0.0681583968,-0.118690094,0.2362566879,1,fac1,1
v000262,0.4227211084,0.2118965025,-0.153080998,0.0025142131,-0.130546893,-0.207286147,1,fac1,1
v000263,0.1503592907,0.103066306,0.3022163895,-0.042308872,0.1224802313,0.1429002469,1,fac3,1
v000264,0.254990532,0.2184778171,0.0472206289,0.1342250711,0.2146241318,-0.11724498,0,,
v000265,-0.252467703,0.7114753273,0.0390830321,0.3760602915,0.3698554822,-0.168504041,1,fac2,1
v000266,0.3435633619,-0.026286247,0.2015128404,-0.010468556,0.192702251,0.3212507451,1,fac1,1
v000267,-0.502570527,-0.50499761,-0.209901838,-0.12323555,-0.276534939,-0.320484223,1,fac2,-1
v000268,-0.735683951,-0.544069069,0.4624738995,-0.23272238,-0.175993204,-0.187249277,1,fac1,-1
v000269,-0.209690833,-0.19123734,0.7238028969,-0.065071736,-0.093639064,-0.185392764,1,fac3,1
v000270,0.1466432731,0.0257249779,0.0355872947,-0.012681082,0.24176098,0.1394474206,0,,
v000271,0.493441686,-0.107385579,-0.232597812,0.0701008374,-0.046407125,0.0987991893,1,fac1,1
v000272,0.2021120737,0.0600733481,0.4663994007,0.0083075226,-0.079746345,0.1044722569,1,fac3,1
v000273,0.3705608994,-0.07885177,0.0014023638,-0.152347602,-0.039949741,0.0136641137,1,fac1,1
v000274,0.4293693677,-0.062684857,0.1619852141,0.0695443143,0.0248672571,0.0716411692,1,fac1,1
v000275,0.5845421596,0.1311885129,-0.033630344,-0.046338021,-0.094159339,-0.16219737,1,fac1,1
v000276,-0.473946868,-0.406027365,-0.244030175,0.0134089633,-0.164859655,0.9368202758,1,fac6,1
v000277,-0.51398025,-0.348236903,-0.297619259,-0.045022051,0.0802419686,-0.316149884,1,fac1,-1
