lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
solidário 9 412 60.4 103.96 15.26 3.11 -53.0 NOTKW
primeiro 30 1087 201.34 274.29 40.47 3.08 -30.67 NOTKW
associar 17 677 114.09 170.83 25.15 3.08 -39.83 NOTKW
empatia 6 305 40.27 76.96 11.27 3.07 -62.6 NOTKW
priorizando 6 70 40.27 17.66 2.75 3.0 78.04 NOTKW
caso 16 641 107.38 161.75 23.81 2.99 -40.4 NOTKW
reconhecimento 22 832 147.65 209.94 30.95 2.98 -34.84 NOTKW
apresentar 69 2250 463.09 567.75 84.03 2.97 -20.31 NOTKW
fato 26 956 174.5 241.23 35.58 2.95 -32.11 NOTKW
atuar 22 831 147.65 209.69 30.91 2.95 -34.72 NOTKW
território 25 924 167.79 233.16 34.39 2.93 -32.61 NOTKW
rodear 5 54 33.56 13.63 2.14 2.92 84.48 NOTKW
implementar 5 264 33.56 66.62 9.75 2.91 -66.0 NOTKW
estética 8 107 53.69 27.0 4.17 2.9 66.16 NOTKW
profissional 39 1352 261.74 341.16 50.4 2.9 -26.34 NOTKW
advir 8 107 53.69 27.0 4.17 2.9 66.16 NOTKW
indispensável 7 335 46.98 84.53 12.39 2.88 -57.11 NOTKW
número 11 472 73.83 119.1 17.5 2.88 -46.94 NOTKW
romper 15 246 100.67 62.07 9.46 2.88 47.43 NOTKW
abordar 25 921 167.79 232.4 34.28 2.87 -32.29 NOTKW
lei 24 890 161.07 224.58 33.12 2.87 -32.93 NOTKW
multiplicidade 5 262 33.56 66.11 9.67 2.83 -65.33 NOTKW
mercado 6 298 40.27 75.2 11.02 2.83 -60.5 NOTKW
demanda 23 856 154.36 216.0 31.85 2.82 -33.28 NOTKW
gerar 11 470 73.83 118.6 17.43 2.82 -46.53 NOTKW
livre 16 268 107.38 67.63 10.29 2.82 45.43 NOTKW
potencializar 9 402 60.4 101.44 14.89 2.81 -50.71 NOTKW
integral 47 1587 315.44 400.45 59.21 2.81 -23.75 NOTKW
explorar 39 779 261.74 196.57 29.64 2.8 28.44 NOTKW
digital 26 948 174.5 239.21 35.29 2.79 -31.29 NOTKW
lógico 13 535 87.25 135.0 19.86 2.79 -42.97 NOTKW
dificuldade 9 401 60.4 101.19 14.86 2.78 -50.48 NOTKW
curso 11 468 73.83 118.09 17.36 2.77 -46.13 NOTKW
inserção 17 664 114.09 167.55 24.68 2.77 -37.96 NOTKW
compartilhar 23 420 154.36 105.98 16.05 2.76 37.17 NOTKW
intencionalidade 8 366 53.69 92.35 13.55 2.76 -52.95 NOTKW
comprometer 7 331 46.98 83.52 12.25 2.75 -56.0 NOTKW
intelectual 16 631 107.38 159.22 23.44 2.75 -38.89 NOTKW
e/ou 28 1008 187.92 254.35 37.54 2.75 -30.04 NOTKW
interferência 6 73 40.27 18.42 2.86 2.74 74.45 NOTKW
conhecido 5 258 33.56 65.1 9.53 2.69 -63.95 NOTKW
desafio 36 1247 241.61 314.66 46.49 2.66 -26.26 NOTKW
solidariedade 7 328 46.98 82.77 12.14 2.65 -55.16 NOTKW
mostrar 10 430 67.11 108.5 15.94 2.64 -47.14 NOTKW
seguir 28 1001 187.92 252.59 37.29 2.62 -29.36 NOTKW
histórico-cultural 5 57 33.56 14.38 2.25 2.62 79.99 NOTKW
mobilização 9 395 60.4 99.67 14.64 2.6 -49.06 NOTKW
textura 7 93 46.98 23.47 3.62 2.59 66.75 NOTKW
sistema 37 1273 248.32 321.22 47.47 2.59 -25.6 NOTKW
psicológico 12 191 80.54 48.2 7.36 2.57 50.25 NOTKW
voltar 24 875 161.07 220.79 32.58 2.57 -31.28 NOTKW
científico 42 1421 281.88 358.57 53.01 2.55 -23.95 NOTKW
ocorrer 31 1088 208.05 274.54 40.55 2.53 -27.55 NOTKW
coisa 5 253 33.56 63.84 9.35 2.52 -62.19 NOTKW
elaboração 30 1057 201.34 266.72 39.39 2.52 -27.93 NOTKW
permear 11 459 73.83 115.82 17.03 2.52 -44.29 NOTKW
cidadão 32 1117 214.77 281.86 41.63 2.51 -27.02 NOTKW
série 10 425 67.11 107.24 15.76 2.5 -46.03 NOTKW
obrigatório 10 425 67.11 107.24 15.76 2.5 -46.03 NOTKW
escuta 10 425 67.11 107.24 15.76 2.5 -46.03 NOTKW
esportivo 8 113 53.69 28.51 4.38 2.5 61.26 NOTKW
salientar 7 323 46.98 81.5 11.96 2.5 -53.74 NOTKW
instrução 6 76 40.27 19.18 2.97 2.49 70.96 NOTKW
específico 61 1979 409.4 499.37 73.92 2.49 -19.8 NOTKW
