lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
preparação 9 278 132.35 68.74 4.75 3.07 63.26 NOTKW
escolar 31 2490 455.88 615.73 41.69 3.06 -29.83 NOTKW
destarte 3 52 44.12 12.86 0.91 3.06 109.73 NOTKW
colonização 3 52 44.12 12.86 0.91 3.06 109.73 NOTKW
vaga 3 52 44.12 12.86 0.91 3.06 109.73 NOTKW
intencional 8 237 117.65 58.61 4.05 3.05 67.0 NOTKW
somar 6 158 88.24 39.07 2.71 3.02 77.24 NOTKW
futuro 16 593 235.29 146.64 10.07 3.01 46.43 NOTKW
iv 9 280 132.35 69.24 4.78 3.01 62.62 NOTKW
dcnem 7 198 102.94 48.96 3.39 3.0 71.07 NOTKW
apto 5 121 73.53 29.92 2.08 2.99 84.31 NOTKW
espanhol 5 121 73.53 29.92 2.08 2.99 84.31 NOTKW
esporte 8 240 117.65 59.35 4.1 2.96 65.88 NOTKW
bairro 4 86 58.82 21.27 1.49 2.96 93.79 NOTKW
basear 16 596 235.29 147.38 10.12 2.96 45.95 NOTKW
deparar 5 122 73.53 30.17 2.1 2.94 83.63 NOTKW
código 10 326 147.06 80.61 5.56 2.93 58.37 NOTKW
valer 4 505 58.82 124.88 8.42 2.92 -71.91 NOTKW
referência 11 1054 161.76 260.63 17.61 2.91 -46.81 NOTKW
parede 3 54 44.12 13.35 0.94 2.91 107.06 NOTKW
ensinar 19 741 279.41 183.23 12.57 2.9 41.58 NOTKW
lugar 21 837 308.82 206.97 14.19 2.9 39.49 NOTKW
combater 6 162 88.24 40.06 2.78 2.86 75.1 NOTKW
formal 3 415 44.12 102.62 6.91 2.85 -79.74 NOTKW
preocupar 5 124 73.53 30.66 2.13 2.85 82.28 NOTKW
cenário 14 509 205.88 125.87 8.65 2.84 48.24 NOTKW
advento 3 55 44.12 13.6 0.96 2.83 105.75 NOTKW
necessitar 3 413 44.12 102.13 6.88 2.82 -79.33 NOTKW
contemplar 28 1188 411.76 293.77 20.11 2.81 33.45 NOTKW
percurso 18 698 264.71 172.6 11.84 2.81 42.12 NOTKW
luz 8 245 117.65 60.58 4.18 2.8 64.03 NOTKW
julgamento 4 89 58.82 22.01 1.54 2.79 91.09 NOTKW
favorecer 11 1043 161.76 257.91 17.43 2.77 -45.82 NOTKW
ressaltar 10 968 147.06 239.37 16.17 2.77 -47.78 NOTKW
macro 3 56 44.12 13.85 0.98 2.76 104.44 NOTKW
recuperar 3 56 44.12 13.85 0.98 2.76 104.44 NOTKW
vocação 3 56 44.12 13.85 0.98 2.76 104.44 NOTKW
integral 36 1598 529.41 395.15 27.02 2.75 29.04 NOTKW
visual 3 409 44.12 101.14 6.81 2.74 -78.51 NOTKW
tolerância 4 90 58.82 22.26 1.55 2.74 90.2 NOTKW
obrigatório 12 423 176.47 104.6 7.19 2.72 51.14 NOTKW
atravessar 5 127 73.53 31.4 2.18 2.72 80.29 NOTKW
ofertar 13 469 191.18 115.97 7.97 2.71 48.97 NOTKW
democrático 22 899 323.53 222.3 15.23 2.69 37.09 NOTKW
perseverança 3 57 44.12 14.09 0.99 2.69 103.15 NOTKW
currículo 47 2175 691.18 537.83 36.75 2.68 24.95 NOTKW
contextualizados 4 91 58.82 22.5 1.57 2.68 89.32 NOTKW
oportunizar 8 250 117.65 61.82 4.27 2.65 62.21 NOTKW
elemento 15 1324 220.59 327.4 22.14 2.64 -38.98 NOTKW
ajustar 4 92 58.82 22.75 1.59 2.63 88.45 NOTKW
concernir 5 129 73.53 31.9 2.22 2.63 78.97 NOTKW
direcionada 3 58 44.12 14.34 1.01 2.62 101.87 NOTKW
inovar 3 58 44.12 14.34 1.01 2.62 101.87 NOTKW
atualizar 7 209 102.94 51.68 3.57 2.62 66.3 NOTKW
correspondente 5 130 73.53 32.15 2.23 2.59 78.32 NOTKW
alteridade 6 169 88.24 41.79 2.89 2.59 71.44 NOTKW
propiciar 19 761 279.41 188.18 12.9 2.56 39.02 NOTKW
investigação 21 859 308.82 212.41 14.55 2.56 36.99 NOTKW
conforme 13 1172 191.18 289.81 19.6 2.56 -41.01 NOTKW
profissional 32 1411 470.59 348.91 23.86 2.55 29.7 NOTKW
postar 4 94 58.82 23.24 1.62 2.53 86.71 NOTKW
subsequente 4 94 58.82 23.24 1.62 2.53 86.71 NOTKW
apoiar 3 397 44.12 98.17 6.61 2.52 -75.98 NOTKW
talvez 3 60 44.12 14.84 1.04 2.49 99.33 NOTKW
validade 3 60 44.12 14.84 1.04 2.49 99.33 NOTKW
preliminar 3 60 44.12 14.84 1.04 2.49 99.33 NOTKW
único 5 561 73.53 138.72 9.36 2.48 -61.43 NOTKW
